source,band,ep_name,epoch,clusterID,N_Icc,N_QUcc,avg_x,avg_y,dist,pa,pred_x,pred_y,core_x,core_y,fwhm_maj,fwhm_min,cpa,iflux,qflux,uflux,pflux,evpa,select,robust,use_in_fit,ClusterType,Nclusters,Nepochs,ep_min,ep_max,ref_epoch,origID,medianFlux,centX,centY,dcentX,dcentY,slopeX,slopeY,dslopeX,dslopeY,accelX,accelY,daccelX,daccelY,sizeMaj,sizeMin,sizePA,bmaj,bmin,bpa,inoise,pnoise
0003+380,u,2006_03_09,2006.1834,-1,2,0,,,,,,,-0.046018112655874695,0.016462664843638227,,,,0.00238019,,,,,False,False,False,KMeans,4,5,2006.1834,2008.3299,2007.2348,-1,,,,,,,,,,,,,,,,,1.084010040488268,0.7848500187045601,17.644699182913,0.00047400504899356084,0.0005640722523693953
0003+380,u,2006_03_09,2006.1834,0,14,4,-0.046018112655874695,0.016462664843638224,0.0488741856828606,-70.31567795576984,-0.046018112655874695,0.016462664843638227,-0.046018112655874695,0.016462664843638227,0.14791839795675524,0.14791839795675524,90.0,0.47234676999999997,-0.00550523,0.0030476825,0.006292529378056669,75.51559425965512,False,True,True,KMeans,4,5,2006.1834,2008.3299,2007.2348,0,0.387102091,-1.0407012314570656e-18,-1.3834939660270599e-19,0.013332826469405689,0.009674571960344299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08497098960947526,0.053639529777461656,-29.95888772904584,1.084010040488268,0.7848500187045601,17.644699182913,0.00047400504899356084,0.0005640722523693953
0003+380,u,2006_03_09,2006.1834,3,22,3,0.28348838436365703,-0.11373573800932565,0.30545291317917156,111.86069095003978,0.3493152837729363,-0.14470179311327971,-0.046018112655874695,0.016462664843638227,0.44119564256216576,0.20832161958988918,-72.27419279327628,0.12798702329999997,-0.008588756599999999,,,,False,True,True,KMeans,4,5,2006.1834,2008.3299,2007.2348,1,0.17765292899999996,0.44837759481493883,-0.2247294356668799,0.008081031894554737,0.0042190250983941795,0.05045101615572089,-0.0604574640574077,0.011130034752128943,0.005810878682074403,0.0,0.0,0.0,0.0,0.16945600310398973,0.059974131435362114,-66.28391659420345,1.084010040488268,0.7848500187045601,17.644699182913,0.00047400504899356084,0.0005640722523693953
0003+380,u,2006_03_09,2006.1834,2,28,0,1.2832387694605731,-0.5322896707951676,1.3892566476651873,112.5287587103847,1.3530104733438177,-0.5311150023940461,-0.046018112655874695,0.016462664843638227,0.579699666968558,0.44366684591775896,-39.51531185560114,0.031400276,,,,,False,True,True,KMeans,4,5,2006.1834,2008.3299,2007.2348,2,0.0227947525,1.4672563473934537,-0.5947665935419756,0.0138638084949715,0.009423897679757938,0.0648922973119245,-0.0448819919196202,0.017920716157644002,0.012181573012846862,0.0,0.0,0.0,0.0,0.2979227484661569,0.14157251022407277,-62.815866511020786,1.084010040488268,0.7848500187045601,17.644699182913,0.00047400504899356084,0.0005640722523693953
0003+380,u,2006_03_09,2006.1834,1,9,0,3.373814978769031,-2.0636026694078207,3.954880970162485,121.4521487581014,3.4860240076544575,-2.1541357377837644,-0.046018112655874695,0.016462664843638227,1.580043921202358,0.7416099094156986,-64.70941805093668,0.0047534752,,,,,False,True,True,KMeans,4,5,2006.1834,2008.3299,2007.2348,3,0.0024545914,3.532042120310332,-2.1705984026274026,0.12092103787163715,0.07633407234884909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709316013598123,0.3149086664185557,-64.70941805093668,1.084010040488268,0.7848500187045601,17.644699182913,0.00047400504899356084,0.0005640722523693953
0003+380,u,2006_12_01,2006.9144,-1,0,0,,,,,,,-0.08992317058822048,0.06622179282514584,,,,,,,,,False,False,False,KMeans,4,5,2006.1834,2008.3299,2007.2348,-1,,,,,,,,,,,,,,,,,0.9053560143866519,0.619694989293096,-17.386599994557,0.0005241623902044089,0.0004974407721904926
0003+380,u,2006_12_01,2006.9144,0,14,6,-0.08992317058822048,0.06622179282514583,0.11167588125291306,-53.631089790667254,-0.08992317058822048,0.06622179282514584,-0.08992317058822048,0.06622179282514584,0.1784352269872,0.1784352269872,90.0,0.30527155699999997,,-0.001591938,,,False,True,True,KMeans,4,5,2006.1834,2008.3299,2007.2348,0,0.387102091,-1.0407012314570656e-18,-1.3834939660270599e-19,0.013332826469405689,0.009674571960344299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08497098960947526,0.053639529777461656,-29.95888772904584,0.9053560143866519,0.619694989293096,-17.386599994557,0.0005241623902044089,0.0004974407721904926
0003+380,u,2006_12_01,2006.9144,3,19,6,0.3330518426383647,-0.1399023319011574,0.3612425671985399,112.78541199312009,0.3422899186504222,-0.13913707135773679,-0.08992317058822048,0.06622179282514584,0.21234734402269492,0.21234734402269492,90.0,0.17765292899999996,,-0.0026685598999999995,,,False,True,True,KMeans,4,5,2006.1834,2008.3299,2007.2348,1,0.17765292899999996,0.44837759481493883,-0.2247294356668799,0.008081031894554737,0.0042190250983941795,0.05045101615572089,-0.0604574640574077,0.011130034752128943,0.005810878682074403,0.0,0.0,0.0,0.0,0.16945600310398973,0.059974131435362114,-66.28391659420345,0.9053560143866519,0.619694989293096,-17.386599994557,0.0005241623902044089,0.0004974407721904926
0003+380,u,2006_12_01,2006.9144,2,13,0,1.3460472694597188,-0.4720794581411626,1.4264299023852587,109.3265524064342,1.3565416847464886,-0.5141646105057806,-0.08992317058822048,0.06622179282514584,0.36447466307116827,0.36447466307116827,90.0,0.021009558999999997,,,,,False,True,True,KMeans,4,5,2006.1834,2008.3299,2007.2348,2,0.0227947525,1.4672563473934537,-0.5947665935419756,0.0138638084949715,0.009423897679757938,0.0648922973119245,-0.0448819919196202,0.017920716157644002,0.012181573012846862,0.0,0.0,0.0,0.0,0.2979227484661569,0.14157251022407277,-62.815866511020786,0.9053560143866519,0.619694989293096,-17.386599994557,0.0005241623902044089,0.0004974407721904926
0003+380,u,2006_12_01,2006.9144,1,0,0,,,,,3.4421189497221114,-2.104376609802257,-0.08992317058822048,0.06622179282514584,,,,,,,,,False,True,False,KMeans,4,5,2006.1834,2008.3299,2007.2348,3,0.0024545914,3.532042120310332,-2.1705984026274026,0.12092103787163715,0.07633407234884909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6709316013598123,0.3149086664185557,-64.70941805093668,0.9053560143866519,0.619694989293096,-17.386599994557,0.0005241623902044089,0.0004974407721904926
