Nclusters,Ndata,NQUdata,Ndata_mean,Ndata_mean_inoise_cut,Code_Vers,ClusterType,StokesQU_weight,SigmaCut,StationaryCore,mean_dsqr,log_like,mean_sum_beam_sqr,k,frac_cc,frac_fl,overlap,ID,epoch,centX,dcentX,centY,dcentY,slopeX,dslopeX,slopeY,dslopeY,accelX,daccelX,accelY,daccelY,medianFlux,sizeMaj,sizeMin,sizePA
1,3530.000001366,1366,392.222222374,898.156118910147,2026-04-16,KMeans,1e-09,7.0,True,2.887520122440549,-7.6372842567011645,2.453451493230086,18,0.9995915032679739,0.9999701644801906,,0,2007.5003,-1.6083478250862902e-17,0.06296654396321466,3.484753621020295e-18,0.02799758791486741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1103682680999998,1.6440179140674576,0.4317903522576144,-79.14764706842291
2,3530.000001366,1366,392.222222374,898.156118910147,2026-04-16,KMeans,1e-09,7.0,True,0.5805027953833825,-6.871293546439487,2.453451493230086,22,0.9995915032679739,0.9999968254933392,0.001418355220153645,0,2007.5003,5.149960319306146e-18,0.02687652009430115,1.734723475976807e-18,0.02969097712287691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9606044172,0.6055706721658379,0.40619701212770526,-81.51534503942571
2,3530.000001366,1366,392.222222374,898.156118910147,2026-04-16,KMeans,1e-09,7.0,True,0.5805027953833825,-6.871293546439487,2.453451493230086,22,0.9995915032679739,0.9999968254933392,0.001418355220153645,1,2007.5003,-6.151792184251027,0.013124309035883937,1.2230763431353509,0.010048509487518996,0.12559164647592008,0.010931949395944265,0.06939658147241008,0.008369948994791024,0.0,0.0,0.0,0.0,0.13993599029999998,0.912095161405234,0.6968913964581369,-86.52522120333539
3,3530.000001366,1366,392.222222374,898.156118910147,2026-04-16,KMeans,1e-09,7.0,True,0.27258583802849057,-6.042589006095271,2.453451493230086,26,0.997140522875817,0.9997826796950637,0.02197982943980918,0,2007.5003,5.467649443166321e-19,0.01027286657093234,-2.8769839972244232e-18,0.03368395956301913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6706591305,0.4028376854422761,0.14660761741473158,7.773696339168026
3,3530.000001366,1366,392.222222374,898.156118910147,2026-04-16,KMeans,1e-09,7.0,True,0.27258583802849057,-6.042589006095271,2.453451493230086,26,0.997140522875817,0.9997826796950637,0.02197982943980918,1,2007.5003,-1.5857597403404278,0.008308101921107099,0.10140575180769702,0.0069416414582018455,-0.1915355117390826,0.006448299309184485,0.10796228299715209,0.0053877266124781244,0.0,0.0,0.0,0.0,0.30308265399999995,0.6412616175533437,0.3362574490533782,-54.512129319918344
3,3530.000001366,1366,392.222222374,898.156118910147,2026-04-16,KMeans,1e-09,7.0,True,0.27258583802849057,-6.042589006095271,2.453451493230086,26,0.997140522875817,0.9997826796950637,0.02197982943980918,2,2007.5003,-6.510540097905765,0.01008589306633995,1.2739064298807745,0.00984809281342634,0.009074611624182202,0.008472860550355909,0.09050727895234154,0.008273091589042941,0.0,0.0,0.0,0.0,0.1342963774,0.7395643308754867,0.6353167263926361,49.55162451822975
4,3530.000001366,1366,392.222222374,898.156118910147,2026-04-16,KMeans,1e-09,7.0,True,0.15248785333603335,-5.611048743001516,2.453451493230086,30,0.9769199346405228,0.9976654315513561,0.02809349610777829,0,2007.5003,0.0,0.007963730499875612,-2.6020852139652106e-18,0.011459083529061009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5437799337,0.1576228507016428,0.12894255333079963,-44.185950457479095
4,3530.000001366,1366,392.222222374,898.156118910147,2026-04-16,KMeans,1e-09,7.0,True,0.15248785333603335,-5.611048743001516,2.453451493230086,30,0.9769199346405228,0.9976654315513561,0.02809349610777829,1,2007.5003,0.13438153879023723,0.0020321259789084062,0.7880914519684739,0.0018591209330327907,0.006502298723827591,0.0016407666537621207,0.016061835325023317,0.0015010799841601815,0.0,0.0,0.0,0.0,1.0915994652999998,0.15787778371002578,0.12301741367678021,-48.33189403953156
4,3530.000001366,1366,392.222222374,898.156118910147,2026-04-16,KMeans,1e-09,7.0,True,0.15248785333603335,-5.611048743001516,2.453451493230086,30,0.9769199346405228,0.9976654315513561,0.02809349610777829,2,2007.5003,-1.4973186123798816,0.008220967427448406,0.5969760559903773,0.006732431893557037,-0.21120305232461187,0.006354838263282855,0.035744999269889645,0.005204194783606034,0.0,0.0,0.0,0.0,0.3000355627,0.6353256363807963,0.33365247080999844,-55.761985464688095
4,3530.000001366,1366,392.222222374,898.156118910147,2026-04-16,KMeans,1e-09,7.0,True,0.15248785333603335,-5.611048743001516,2.453451493230086,30,0.9769199346405228,0.9976654315513561,0.02809349610777829,3,2007.5003,-6.428586552939898,0.025959092496920595,1.7586170629039466,0.023780174209805695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1342963774,0.7391750014377507,0.6348639849834621,49.64486461322508
