Nclusters,Ndata,NQUdata,Ndata_mean,Ndata_mean_inoise_cut,Code_Vers,ClusterType,StokesQU_weight,SigmaCut,StationaryCore,mean_dsqr,log_like,mean_sum_beam_sqr,k,frac_cc,frac_fl,overlap,ID,epoch,centX,dcentX,centY,dcentY,slopeX,dslopeX,slopeY,dslopeY,accelX,daccelX,accelY,daccelY,medianFlux,sizeMaj,sizeMin,sizePA
1,3455.000000397,397,383.888888933,1035.9245376951408,2026-04-16,KMeans,1e-09,7.0,True,1.8729351569128603,-7.344956331306951,2.5328541557585154,18,0.9976635514018691,0.999944979650777,,0,2023.514,-6.575554172714595e-18,0.0522019667591042,-1.3699071193155405e-18,0.021750494231099145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2159166658,1.3152971831448317,0.38084056963270185,-79.2356179487207
2,3455.000000397,397,383.888888933,1035.9245376951408,2026-04-16,KMeans,1e-09,7.0,True,0.3634826491760926,-6.131234904613558,2.5328541557585154,22,0.9698857736240913,0.9969789834312855,3.2553797749366016e-12,0,2023.514,7.882109742184571e-19,0.016190248324158645,2.6848436309316183e-18,0.02121725439307996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8955903645,0.3839236565834187,0.2893581599315005,-21.859296191258466
2,3455.000000397,397,383.888888933,1035.9245376951408,2026-04-16,KMeans,1e-09,7.0,True,0.3634826491760926,-6.131234904613558,2.5328541557585154,22,0.9698857736240913,0.9969789834312855,3.2553797749366016e-12,1,2023.514,-4.7395151809793,0.05261175832584083,0.7749733478214672,0.01966895017721936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2895215374,1.4297134371082996,0.5772354976891823,-74.05333740502958
3,3455.000000397,397,383.888888933,1035.9245376951408,2026-04-16,KMeans,1e-09,7.0,True,0.24222238223938797,-5.995917827192787,2.5328541557585154,26,0.9823468328141225,0.9982390624594487,0.06439627193604823,0,2023.514,1.3010426069826053e-18,0.015191143874067605,5.421010862427522e-20,0.021326132846196437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8517109862,0.37660211484152095,0.23401931306747914,-15.45401736358653
3,3455.000000397,397,383.888888933,1035.9245376951408,2026-04-16,KMeans,1e-09,7.0,True,0.24222238223938797,-5.995917827192787,2.5328541557585154,26,0.9823468328141225,0.9982390624594487,0.06439627193604823,1,2023.514,-3.6045379021489565,0.012429969847540948,0.43918529988518673,0.009245946480531087,0.06436382757828844,0.010380117143337303,-0.03336918955130724,0.0077211778263425734,0.0,0.0,0.0,0.0,0.21509101560000002,0.7882897800930552,0.548743238694437,-72.9635753816898
3,3455.000000397,397,383.888888933,1035.9245376951408,2026-04-16,KMeans,1e-09,7.0,True,0.24222238223938797,-5.995917827192787,2.5328541557585154,26,0.9823468328141225,0.9982390624594487,0.06439627193604823,2,2023.514,-6.410799739803216,0.01089095176842333,1.2776535236816178,0.010331823582666325,0.03529033954806063,0.008720244039698037,-0.009231614147279327,0.008272557342249688,0.0,0.0,0.0,0.0,0.1123441567,0.7214532562699257,0.5895577129998653,52.663776172536345
4,3455.000000397,397,383.888888933,1035.9245376951408,2026-04-16,KMeans,1e-09,7.0,True,0.15787423589732183,-5.2913520647698595,2.5328541557585154,30,0.9698857736240913,0.9974390293527811,0.08428710237891428,0,2023.514,6.746479963445787e-19,0.01092690788429022,-2.8724508527836437e-19,0.023932917915610828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.250986554,0.2756520999877787,0.08315549676572814,21.7999703119105
4,3455.000000397,397,383.888888933,1035.9245376951408,2026-04-16,KMeans,1e-09,7.0,True,0.15787423589732183,-5.2913520647698595,2.5328541557585154,30,0.9698857736240913,0.9974390293527811,0.08428710237891428,1,2023.514,-0.3953127215488396,0.00661412533178204,0.6768339034704953,0.004097653936665087,0.03805632925857952,0.005159075721315622,-0.05134573855825128,0.0031962059801649485,0.0,0.0,0.0,0.0,0.7115774718000001,0.41076525753583487,0.25517240312130374,-83.33908314381112
4,3455.000000397,397,383.888888933,1035.9245376951408,2026-04-16,KMeans,1e-09,7.0,True,0.15787423589732183,-5.2913520647698595,2.5328541557585154,30,0.9698857736240913,0.9974390293527811,0.08428710237891428,2,2023.514,-3.7386044376808285,0.011502422527872848,0.564408474536526,0.009120601012703723,0.08375426038166296,0.009659789918351008,-0.059245275145606804,0.007659524721711852,0.0,0.0,0.0,0.0,0.20346828020000002,0.7396536775121951,0.529618205006731,-67.52056221042467
4,3455.000000397,397,383.888888933,1035.9245376951408,2026-04-16,KMeans,1e-09,7.0,True,0.15787423589732183,-5.2913520647698595,2.5328541557585154,30,0.9698857736240913,0.9974390293527811,0.08428710237891428,3,2023.514,-6.486371123985739,0.010773686750305315,1.3989960744657954,0.010312780098546701,0.039952439344594456,0.008644154559118197,-0.023237249187793012,0.008274350941520514,0.0,0.0,0.0,0.0,0.1123441567,0.7169814945707347,0.5855191479868501,51.31532870904381
