Nclusters,Ndata,NQUdata,Ndata_mean,Ndata_mean_inoise_cut,Code_Vers,ClusterType,StokesQU_weight,SigmaCut,StationaryCore,mean_dsqr,log_like,mean_sum_beam_sqr,k,frac_cc,frac_fl,overlap,ID,epoch,centX,dcentX,centY,dcentY,slopeX,dslopeX,slopeY,dslopeY,accelX,daccelX,accelY,daccelY,medianFlux,sizeMaj,sizeMin,sizePA
1,2690.000000154,154,298.88888890600003,726.7860092487053,2026-04-16,KMeans,1e-09,7.0,True,2.1825999851228306,-7.2737683876018835,2.7729305135831863,18,0.9978902953586498,0.9995454320489402,,0,2001.0554,-2.6106160531185026e-18,0.0552390764624394,7.179194146075878e-18,0.025433265605218892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4500291740000004,1.4372037142499603,0.3562460711575989,-77.69136699426372
2,2690.000000154,154,298.88888890600003,726.7860092487053,2026-04-16,KMeans,1e-09,7.0,True,0.33293725459658957,-6.150935631647278,2.7729305135831863,22,0.9789029535864979,0.9979080136921679,0.0004853076090787563,0,2001.0554,-5.204170427930421e-18,0.01745186569216076,1.0842021724855044e-19,0.024891901127290977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3312932292000004,0.3870232279913057,0.31482178309144976,-51.84893071778012
2,2690.000000154,154,298.88888890600003,726.7860092487053,2026-04-16,KMeans,1e-09,7.0,True,0.33293725459658957,-6.150935631647278,2.7729305135831863,22,0.9789029535864979,0.9979080136921679,0.0004853076090787563,1,2001.0554,-5.060146567459865,0.022238951235048484,1.0994773428161053,0.011985281829248842,-0.5043502106754796,0.010074657364918657,0.05573142018403673,0.005429554954073999,0.0,0.0,0.0,0.0,0.1291801045,1.1829337301662326,0.6060275005184347,-80.12603429984539
3,2690.000000154,154,298.88888890600003,726.7860092487053,2026-04-16,KMeans,1e-09,7.0,True,0.2118935678563029,-5.660853969609002,2.7729305135831863,26,0.9971870604781997,0.9996438164959964,0.04140181928166931,0,2001.0554,-8.6401384919148955e-19,0.011590607969974229,2.974284736281889e-18,0.02619258107961523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1475152612,0.3257639954583681,0.16069316050397464,9.417421341786337
3,2690.000000154,154,298.88888890600003,726.7860092487053,2026-04-16,KMeans,1e-09,7.0,True,0.2118935678563029,-5.660853969609002,2.7729305135831863,26,0.9971870604781997,0.9996438164959964,0.04140181928166931,1,2001.0554,-1.7300759441529743,0.01597208839406525,0.5796496796978244,0.009008671561562903,-0.031554710024932535,0.007577078988640409,0.018355302667181793,0.004273668810275543,0.0,0.0,0.0,0.0,0.1670812191,0.8272780005592378,0.41417836659554236,-74.84903556608832
3,2690.000000154,154,298.88888890600003,726.7860092487053,2026-04-16,KMeans,1e-09,7.0,True,0.2118935678563029,-5.660853969609002,2.7729305135831863,26,0.9971870604781997,0.9996438164959964,0.04140181928166931,2,2001.0554,-5.931762528134643,0.014403668280736796,1.2763435046502078,0.013626218526856207,-0.19357016212374528,0.007065464494866683,-0.013528329389978647,0.006684100280867638,0.0,0.0,0.0,0.0,0.10428598750000001,0.6657771531497871,0.6145499014988369,-66.96566185230782
4,2690.000000154,154,298.88888890600003,726.7860092487053,2026-04-16,KMeans,1e-09,7.0,True,0.13884773841959375,-5.503873684995245,2.7729305135831863,30,0.9859353023909986,0.9981892176060538,0.041276427608551415,0,2001.0554,3.903127820947816e-18,0.011201676546224388,-1.734723475976807e-18,0.01104936209795939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.520119192,0.2138835090244645,0.14473524635862509,-67.8292960876038
4,2690.000000154,154,298.88888890600003,726.7860092487053,2026-04-16,KMeans,1e-09,7.0,True,0.13884773841959375,-5.503873684995245,2.7729305135831863,30,0.9859353023909986,0.9981892176060538,0.041276427608551415,1,2001.0554,0.17310734562790342,0.0029467002431183566,0.6193635817766392,0.003197153567864744,0.002720846755603117,0.0012982629406686817,0.004421094912805078,0.0014086081549960806,0.0,0.0,0.0,0.0,1.7040559243,0.19464266809674116,0.1386604393967641,-32.90754279888935
4,2690.000000154,154,298.88888890600003,726.7860092487053,2026-04-16,KMeans,1e-09,7.0,True,0.13884773841959375,-5.503873684995245,2.7729305135831863,30,0.9859353023909986,0.9981892176060538,0.041276427608551415,2,2001.0554,-1.6828651499686087,0.015690107118906765,1.0717190546614477,0.008417194402428094,-0.013609281138078874,0.007469531647892343,0.012929048755830177,0.004007142812915331,0.0,0.0,0.0,0.0,0.1386367586,0.8218004496957936,0.3963299668719257,-76.32830060632399
4,2690.000000154,154,298.88888890600003,726.7860092487053,2026-04-16,KMeans,1e-09,7.0,True,0.13884773841959375,-5.503873684995245,2.7729305135831863,30,0.9859353023909986,0.9981892176060538,0.041276427608551415,3,2001.0554,-5.821124802204382,0.014349290726274503,1.7279949464699542,0.013606751677988404,-0.18785156929983127,0.007035431062818331,-0.021568696936149788,0.0066713655222057945,0.0,0.0,0.0,0.0,0.10428598750000001,0.6615140349814308,0.6123919124236334,-66.7895307676585
