Nclusters,Ndata,NQUdata,Ndata_mean,Ndata_mean_inoise_cut,Code_Vers,ClusterType,StokesQU_weight,SigmaCut,StationaryCore,mean_dsqr,log_like,mean_sum_beam_sqr,k,frac_cc,frac_fl,overlap,ID,epoch,centX,dcentX,centY,dcentY,slopeX,dslopeX,slopeY,dslopeY,accelX,daccelX,accelY,daccelY,medianFlux,sizeMaj,sizeMin,sizePA
1,2823.000001085,1085,403.2857144407143,1061.1512419651142,2026-04-16,KMeans,1e-09,7.0,True,1.713255603796745,-7.403968604361379,2.616947022931207,14,1.0,1.0,,0,2010.909,-2.279293289188102e-18,0.05294893185185578,8.319420505536576e-18,0.04323014225038854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1192044908999996,1.219490115534663,0.4761371323325896,-79.09151518320878
2,2823.000001085,1085,403.2857144407143,1061.1512419651142,2026-04-16,KMeans,1e-09,7.0,True,0.6519665260320662,-6.568264306327564,2.616947022931207,18,1.0,1.0,3.510586140597352e-05,0,2010.909,2.710505431213761e-18,0.016444453787659748,4.594306705907325e-18,0.048601589527503826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8513789831,0.46348111427868316,0.2926644229665536,20.502078036558373
2,2823.000001085,1085,403.2857144407143,1061.1512419651142,2026-04-16,KMeans,1e-09,7.0,True,0.6519665260320662,-6.568264306327564,2.616947022931207,18,1.0,1.0,3.510586140597352e-05,1,2010.909,-3.0551104707011336,0.025864793531287043,0.5604115334580408,0.011197605207363149,0.13362444222520167,0.0220900685501141,-0.1560743201259931,0.009563419337894789,0.0,0.0,0.0,0.0,0.2729848198,1.671536470563681,0.5422577676561283,-73.85145941249183
3,2823.000001085,1085,403.2857144407143,1061.1512419651142,2026-04-16,KMeans,1e-09,7.0,True,0.3194879977081281,-6.025310240132404,2.616947022931207,22,0.9938587512794268,0.99825279218965,0.02732109754791398,0,2010.909,-1.8973538018496328e-18,0.01310597547582846,7.318364664277155e-19,0.05054580978317442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7470276124999997,0.4592099705047158,0.1597492328076189,11.703785236387859
3,2823.000001085,1085,403.2857144407143,1061.1512419651142,2026-04-16,KMeans,1e-09,7.0,True,0.3194879977081281,-6.025310240132404,2.616947022931207,22,0.9938587512794268,0.99825279218965,0.02732109754791398,1,2010.909,-2.1732630747992547,0.01034963053786189,0.24073353473205147,0.00877416254824945,-0.15228313013049408,0.009112238189838143,-0.050042071702593144,0.007725131710114491,0.0,0.0,0.0,0.0,0.29588591623,0.7474564702165118,0.4011364245923752,-53.61048620582268
3,2823.000001085,1085,403.2857144407143,1061.1512419651142,2026-04-16,KMeans,1e-09,7.0,True,0.3194879977081281,-6.025310240132404,2.616947022931207,22,0.9938587512794268,0.99825279218965,0.02732109754791398,2,2010.909,-6.330849505881476,0.013242364863320182,1.4165218835019238,0.011905588378156386,0.0914217963064683,0.011422708128075613,-0.037943378284416074,0.0102696204598151,0.0,0.0,0.0,0.0,0.04830441036,0.818411651867454,0.6977725239268097,66.04905293167843
4,2823.000001085,1085,403.2857144407143,1061.1512419651142,2026-04-16,KMeans,1e-09,7.0,True,0.15953890206092575,-5.558261431806342,2.616947022931207,26,0.9728761514841351,0.9967517255084433,0.024513626253678134,0,2010.909,3.0357660829594124e-18,0.010369315746901227,-2.168404344971009e-19,0.011793260809584843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7766209901999999,0.21128924023117618,0.14428724246134517,-76.99119719192815
4,2823.000001085,1085,403.2857144407143,1061.1512419651142,2026-04-16,KMeans,1e-09,7.0,True,0.15953890206092575,-5.558261431806342,2.616947022931207,26,0.9728761514841351,0.9967517255084433,0.024513626253678134,1,2010.909,0.20885632119324463,0.001563887185453944,0.8588922648300962,0.002802130786890186,0.05153334467009921,0.0013271010009475892,0.018497134538870603,0.002377863701842793,0.0,0.0,0.0,0.0,0.9979827089,0.1819707947620463,0.10577996409412689,-14.14708876636712
4,2823.000001085,1085,403.2857144407143,1061.1512419651142,2026-04-16,KMeans,1e-09,7.0,True,0.15953890206092575,-5.558261431806342,2.616947022931207,26,0.9728761514841351,0.9967517255084433,0.024513626253678134,2,2010.909,-2.0697773340452152,0.010226104316343208,0.7283127948087541,0.008611236574202171,-0.10458080165949815,0.00899632445335429,0.024362145319023212,0.0075756588989908166,0.0,0.0,0.0,0.0,0.29374271823,0.734221887810377,0.3994584223934908,-54.129918479651636
4,2823.000001085,1085,403.2857144407143,1061.1512419651142,2026-04-16,KMeans,1e-09,7.0,True,0.15953890206092575,-5.558261431806342,2.616947022931207,26,0.9728761514841351,0.9967517255084433,0.024513626253678134,3,2010.909,-6.2096267889303585,0.013227875263409508,1.8855555051198614,0.011916414455167999,0.1347680120161083,0.011409962106707234,0.04269998980112108,0.010278735977907896,0.0,0.0,0.0,0.0,0.04830441036,0.8178856927281516,0.6980647806921799,65.73417349629327
