Nclusters,Ndata,NQUdata,Ndata_mean,Ndata_mean_inoise_cut,Code_Vers,ClusterType,StokesQU_weight,SigmaCut,StationaryCore,mean_dsqr,log_like,mean_sum_beam_sqr,k,frac_cc,frac_fl,overlap,ID,epoch,centX,dcentX,centY,dcentY,slopeX,dslopeX,slopeY,dslopeY,accelX,daccelX,accelY,daccelY,medianFlux,sizeMaj,sizeMin,sizePA
1,2551.000000154,154,283.4444444615556,620.969180968216,2026-04-16,KMeans,1e-09,7.0,True,1.842471680112658,-7.209689122287118,2.715723198506481,18,0.9963031423290203,0.9994467433172487,,0,2000.026,-4.806664377320596e-18,0.04843872631607939,3.2616651131818325e-18,0.026138801290292245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1753005708999997,1.3145151753312638,0.3565808305752245,-76.73018234887319
2,2551.000000154,154,283.4444444615556,620.969180968216,2026-04-16,KMeans,1e-09,7.0,True,0.33429118721020173,-6.151235712979526,2.715723198506481,22,0.9744916820702403,0.9975529650920424,0.026808621633233394,0,2000.026,-3.2960669951801054e-18,0.01590554513149583,-4.212930701585839e-18,0.025383343154295565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9669570418,0.38170228367508696,0.30605902733456486,-41.71739100182984
2,2551.000000154,154,283.4444444615556,620.969180968216,2026-04-16,KMeans,1e-09,7.0,True,0.33429118721020173,-6.151235712979526,2.715723198506481,22,0.9744916820702403,0.9975529650920424,0.026808621633233394,1,2000.026,-4.389493279585315,0.02316317125914091,1.025317412147622,0.011315318430227594,-0.6346429015039313,0.00863081871621608,0.08950881547094224,0.004216195657967742,0.0,0.0,0.0,0.0,0.1417619705,1.2167157758276494,0.5551629445185623,-79.85212386962878
3,2551.000000154,154,283.4444444615556,620.969180968216,2026-04-16,KMeans,1e-09,7.0,True,0.21102970448004518,-5.570090697742321,2.715723198506481,26,0.989648798521257,0.9985423173462298,0.04453482984573312,0,2000.026,-1.0842021724855044e-18,0.00865183458979838,-3.0357660829594124e-18,0.026804122706699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8625850598000002,0.32528609954978904,0.13350940278734558,8.685874391171183
3,2551.000000154,154,283.4444444615556,620.969180968216,2026-04-16,KMeans,1e-09,7.0,True,0.21102970448004518,-5.570090697742321,2.715723198506481,26,0.989648798521257,0.9985423173462298,0.04453482984573312,1,2000.026,-1.5804129904698796,0.015811823441607684,0.5655473028423533,0.008888430900229095,-0.10864367082631636,0.005906374911512326,-0.008657107679999937,0.0033201993094406977,0.0,0.0,0.0,0.0,0.2070919161,0.7683202907523389,0.4000237848464934,-77.50169209135777
3,2551.000000154,154,283.4444444615556,620.969180968216,2026-04-16,KMeans,1e-09,7.0,True,0.21102970448004518,-5.570090697742321,2.715723198506481,26,0.989648798521257,0.9985423173462298,0.04453482984573312,2,2000.026,-5.784155310836622,0.01787786957899768,1.2884616000393014,0.01619938801171812,-0.16347436025590079,0.008234770430755696,0.0007946965941145734,0.007461640818319117,0.0,0.0,0.0,0.0,0.0785654217,0.7063922500418411,0.6151930909668871,-67.83922698937033
4,2551.000000154,154,283.4444444615556,620.969180968216,2026-04-16,KMeans,1e-09,7.0,True,0.1422169647612433,-5.5092944459940245,2.715723198506481,30,0.9866913123844732,0.9982559922268391,0.04559800497805603,0,2000.026,-4.336808689942018e-18,0.00966291924524045,0.0,0.011274377801321607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5064983563000001,0.19896318990916764,0.14682488427152007,-63.6813307071926
4,2551.000000154,154,283.4444444615556,620.969180968216,2026-04-16,KMeans,1e-09,7.0,True,0.1422169647612433,-5.5092944459940245,2.715723198506481,30,0.9866913123844732,0.9982559922268391,0.04559800497805603,1,2000.026,0.1570754482164852,0.002544398571410037,0.6160480260531509,0.0033868894036171294,0.0019743454336658473,0.0010972422351157203,0.016696935800860842,0.0014605565893142164,0.0,0.0,0.0,0.0,1.3140081949999998,0.18943825049630095,0.12524231415852494,-17.72211229269621
4,2551.000000154,154,283.4444444615556,620.969180968216,2026-04-16,KMeans,1e-09,7.0,True,0.1422169647612433,-5.5092944459940245,2.715723198506481,30,0.9866913123844732,0.9982559922268391,0.04559800497805603,2,2000.026,-1.5236472216113954,0.015659501960412287,1.0466425127371677,0.008222825045838631,-0.09950203967157116,0.005765076514039414,0.0022462657857754567,0.00302724924909242,0.0,0.0,0.0,0.0,0.17722019409999998,0.7690060605563698,0.374138035672011,-78.4513833558805
4,2551.000000154,154,283.4444444615556,620.969180968216,2026-04-16,KMeans,1e-09,7.0,True,0.1422169647612433,-5.5092944459940245,2.715723198506481,30,0.9866913123844732,0.9982559922268391,0.04559800497805603,3,2000.026,-5.660411375289765,0.01796916150564633,1.7439032412276856,0.016133242527708532,-0.1740913566831384,0.008273469524696672,-0.008256883830260464,0.0074281646556293105,0.0,0.0,0.0,0.0,0.0783843157,0.7063538375859644,0.6150625840301341,-70.66284076976154
