Nclusters,Ndata,NQUdata,Ndata_mean,Ndata_mean_inoise_cut,Code_Vers,ClusterType,StokesQU_weight,SigmaCut,StationaryCore,mean_dsqr,log_like,mean_sum_beam_sqr,k,frac_cc,frac_fl,overlap,ID,epoch,centX,dcentX,centY,dcentY,slopeX,dslopeX,slopeY,dslopeY,accelX,daccelX,accelY,daccelY,medianFlux,sizeMaj,sizeMin,sizePA
1,2701.000000315,315,385.8571429021428,920.1918737304828,2026-04-16,KMeans,1e-09,7.0,True,1.9666918995656653,-7.3537672743561915,2.6159735197614338,14,0.9986737400530504,0.9999646624871258,,0,2024.4175,1.1013720940761075e-17,0.06278619367875196,-1.251559197813761e-19,0.02325751968725347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2034717782,1.3488309263599996,0.38638098196726817,-79.72723264115913
2,2701.000000315,315,385.8571429021428,920.1918737304828,2026-04-16,KMeans,1e-09,7.0,True,0.38501236114709836,-6.188857486984781,2.6159735197614338,18,0.9698275862068966,0.996569154876288,6.808080241268192e-11,0,2024.4175,1.734723475976807e-18,0.01876914472851011,-2.8189256484623115e-18,0.02428943986523829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8894346435,0.3732554408652397,0.3179076551635108,-19.764029289121765
2,2701.000000315,315,385.8571429021428,920.1918737304828,2026-04-16,KMeans,1e-09,7.0,True,0.38501236114709836,-6.188857486984781,2.6159735197614338,18,0.9698275862068966,0.996569154876288,6.808080241268192e-11,1,2024.4175,-4.706744982246599,0.059309930970310884,0.7556449146209631,0.02346354293305653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2876922214,1.4520370824922442,0.5997027877619092,-72.82461345750332
3,2701.000000315,315,385.8571429021428,920.1918737304828,2026-04-16,KMeans,1e-09,7.0,True,0.25158229244034935,-6.007439703771333,2.6159735197614338,22,0.988395225464191,0.9982435660780249,0.08214198795355505,0,2024.4175,1.5838060859406374e-18,0.016697106474047138,2.525528623526962e-18,0.02453736624553607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8520707225,0.36097685213998987,0.24265583723173162,-7.580203360637057
3,2701.000000315,315,385.8571429021428,920.1918737304828,2026-04-16,KMeans,1e-09,7.0,True,0.25158229244034935,-6.007439703771333,2.6159735197614338,22,0.988395225464191,0.9982435660780249,0.08214198795355505,1,2024.4175,-3.5028452274325907,0.014985164812521694,0.4256855441255741,0.01128568139105022,0.2728767801935085,0.01634749735862305,-0.0896451731986484,0.012311686193554015,0.0,0.0,0.0,0.0,0.22466846340000002,0.8300856717064752,0.606786527090834,-77.75162868155839
3,2701.000000315,315,385.8571429021428,920.1918737304828,2026-04-16,KMeans,1e-09,7.0,True,0.25158229244034935,-6.007439703771333,2.6159735197614338,22,0.988395225464191,0.9982435660780249,0.08214198795355505,2,2024.4175,-6.349476222344127,0.013828298805044095,1.273824265303097,0.012156406794411387,0.06821280991352366,0.014795383075917561,-0.07697314170353287,0.01300656703226554,0.0,0.0,0.0,0.0,0.1127700567,0.7559698058207327,0.6468367747474291,72.97890599205928
4,2701.000000315,315,385.8571429021428,920.1918737304828,2026-04-16,KMeans,1e-09,7.0,True,0.1697460642564415,-5.804690226100679,2.6159735197614338,26,0.9698275862068966,0.9962600914318651,0.07080923027060038,0,2024.4175,8.673617379884035e-19,0.008382472451048123,4.336808689942018e-19,0.016131894945588622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9914757466,0.19747746564134738,0.19533013645847933,61.28223614622262
4,2701.000000315,315,385.8571429021428,920.1918737304828,2026-04-16,KMeans,1e-09,7.0,True,0.1697460642564415,-5.804690226100679,2.6159735197614338,26,0.9698275862068966,0.9962600914318651,0.07080923027060038,1,2024.4175,0.135797796981671,0.004527408441352826,0.620201587699315,0.004220326989432028,0.0841152129171039,0.004992632008938922,-0.015024209748676277,0.0046539957436071595,0.0,0.0,0.0,0.0,2.8458849710000003,0.3200564545886709,0.14630811269753707,-47.06144965462346
4,2701.000000315,315,385.8571429021428,920.1918737304828,2026-04-16,KMeans,1e-09,7.0,True,0.1697460642564415,-5.804690226100679,2.6159735197614338,26,0.9698275862068966,0.9962600914318651,0.07080923027060038,2,2024.4175,-3.4372464863942964,0.014481144531899248,0.8635244475306423,0.01099874320051592,0.32147157172626756,0.015779555772986967,-0.07559585617621005,0.011984914685644658,0.0,0.0,0.0,0.0,0.21513254939999998,0.8113005833005664,0.579868761772547,-72.98849007822547
4,2701.000000315,315,385.8571429021428,920.1918737304828,2026-04-16,KMeans,1e-09,7.0,True,0.1697460642564415,-5.804690226100679,2.6159735197614338,26,0.9698275862068966,0.9962600914318651,0.07080923027060038,3,2024.4175,-6.2532563871644475,0.01376837986734258,1.7245960466381964,0.0121418162381881,0.13093497297473664,0.014731925287834633,-0.07037274754066018,0.012991530695915377,0.0,0.0,0.0,0.0,0.1123441567,0.7543446909990515,0.6446750143602259,71.68874525535351
