Nclusters,Ndata,NQUdata,Ndata_mean,Ndata_mean_inoise_cut,Code_Vers,ClusterType,StokesQU_weight,SigmaCut,StationaryCore,mean_dsqr,log_like,mean_sum_beam_sqr,k,frac_cc,frac_fl,overlap,ID,epoch,centX,dcentX,centY,dcentY,slopeX,dslopeX,slopeY,dslopeY,accelX,daccelX,accelY,daccelY,medianFlux,sizeMaj,sizeMin,sizePA
1,2139.000000224,224,427.80000004479996,1115.6292086653807,2026-04-16,KMeans,1e-09,7.0,True,1.8756125653493472,-7.3539778646350005,2.493462312263865,10,0.996191282268303,0.9998311869676766,,0,2024.987,-2.6409465945279207e-18,0.07592101608639773,-8.913194756531733e-18,0.026154675795893405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2135081538,1.3186004754602623,0.3763596764018833,-80.24782415972095
2,2139.000000224,224,427.80000004479996,1115.6292086653807,2026-04-16,KMeans,1e-09,7.0,True,0.37944642428257724,-6.2436093931191925,2.493462312263865,14,0.9699534490055015,0.9981331791827875,9.1266116735014e-11,0,2024.987,6.2341624917916505e-19,0.023423393390771517,4.081851772818473e-18,0.02745424907742558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9181482686,0.35041215289613636,0.3339990276158936,-13.852248597235416
2,2139.000000224,224,427.80000004479996,1115.6292086653807,2026-04-16,KMeans,1e-09,7.0,True,0.37944642428257724,-6.2436093931191925,2.493462312263865,14,0.9699534490055015,0.9981331791827875,9.1266116735014e-11,1,2024.987,-4.782065616755198,0.06722745115087767,0.7614688391016666,0.027301597108191744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2816586372,1.4741818554272301,0.6298267820619068,-73.32346848848653
3,2139.000000224,224,427.80000004479996,1115.6292086653807,2026-04-16,KMeans,1e-09,7.0,True,0.22747832772760562,-5.8508932289805795,2.493462312263865,18,0.9779940753279729,0.994908250793536,0.09710769718599106,0,2024.987,1.6641681580992506e-18,0.018927304073713905,1.7036568940541476e-18,0.02799495304357243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8605115682,0.3416022506787565,0.23064562161116692,-1.5957834890198228
3,2139.000000224,224,427.80000004479996,1115.6292086653807,2026-04-16,KMeans,1e-09,7.0,True,0.22747832772760562,-5.8508932289805795,2.493462312263865,18,0.9779940753279729,0.994908250793536,0.09710769718599106,1,2024.987,-3.4025762480537196,0.018116843302697878,0.3678665797137291,0.01338844546108497,0.3929220404025533,0.027035546279316376,-0.10217991041136458,0.019979415333208954,0.0,0.0,0.0,0.0,0.21824931880000004,0.8943997635878377,0.6237249704297718,-74.07271374390513
3,2139.000000224,224,427.80000004479996,1115.6292086653807,2026-04-16,KMeans,1e-09,7.0,True,0.22747832772760562,-5.8508932289805795,2.493462312263865,18,0.9779940753279729,0.994908250793536,0.09710769718599106,2,2024.987,-6.341662507123846,0.015883709603854858,1.2302637039445574,0.013983454608116092,0.14178156476129394,0.02403729159388286,-0.0810358202185503,0.021161579019521773,0.0,0.0,0.0,0.0,0.1123441567,0.775328509671955,0.6763058779835209,79.47437249309195
4,2139.000000224,224,427.80000004479996,1115.6292086653807,2026-04-16,KMeans,1e-09,7.0,True,0.1603179608436262,-5.6821484154469974,2.493462312263865,22,0.9699534490055015,0.9961965834749207,0.07323984313099295,0,2024.987,-8.673617379884035e-19,0.010795463315297762,8.673617379884035e-19,0.019517547315684423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991312718,0.20245529231098514,0.18889489698123205,85.51289756016662
4,2139.000000224,224,427.80000004479996,1115.6292086653807,2026-04-16,KMeans,1e-09,7.0,True,0.1603179608436262,-5.6821484154469974,2.493462312263865,22,0.9699534490055015,0.9961965834749207,0.07323984313099295,1,2024.987,0.19204726077853804,0.004244664709858589,0.6063112218949043,0.004105908198955509,0.06596804147977933,0.00638037803805982,-0.00437874423534919,0.00617180585266492,0.0,0.0,0.0,0.0,2.9395947882,0.28314522937690995,0.1334947133230437,-46.251560984045
4,2139.000000224,224,427.80000004479996,1115.6292086653807,2026-04-16,KMeans,1e-09,7.0,True,0.1603179608436262,-5.6821484154469974,2.493462312263865,22,0.9699534490055015,0.9961965834749207,0.07323984313099295,2,2024.987,-3.265451751582394,0.0179758873929275,0.8267068885888633,0.01322062522116089,0.44548830186092536,0.026804065619813053,-0.11248398003334972,0.019713436016648347,0.0,0.0,0.0,0.0,0.217611324,0.8842518828059774,0.6208006807823397,-75.64758070242192
4,2139.000000224,224,427.80000004479996,1115.6292086653807,2026-04-16,KMeans,1e-09,7.0,True,0.1603179608436262,-5.6821484154469974,2.493462312263865,22,0.9699534490055015,0.9961965834749207,0.07323984313099295,3,2024.987,-6.194580863235981,0.015875086310625362,1.6809139353322562,0.013982552926382532,0.18602611331052393,0.024022581103041746,-0.08303191397580187,0.02115875184103904,0.0,0.0,0.0,0.0,0.1123441567,0.7748948196197165,0.6762819640517412,79.47984637278176
5,2139.000000224,224,427.80000004479996,1115.6292086653807,2026-04-16,KMeans,1e-09,7.0,True,0.10936100752902712,-5.2323464512379,2.493462312263865,26,0.9699534490055015,0.9973877106620945,0.07369635731372258,0,2024.987,1.0128306411496032e-19,0.008314228875307441,4.996631163004699e-18,0.020338606134164074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9659192675999998,0.1869885566574798,0.11207666330548074,6.61325156934393
