source,band,ep_name,epoch,clusterID,N_Icc,N_QUcc,avg_x,avg_y,dist,pa,pred_x,pred_y,core_x,core_y,fwhm_maj,fwhm_min,cpa,iflux,qflux,uflux,pflux,evpa,select,robust,use_in_fit,ClusterType,Nclusters,Nepochs,ep_min,ep_max,ref_epoch,origID,medianFlux,centX,centY,dcentX,dcentY,slopeX,slopeY,dslopeX,dslopeY,accelX,accelY,daccelX,daccelY,sizeMaj,sizeMin,sizePA,bmaj,bmin,bpa,inoise,pnoise
0003-066,u,1998_10_30,1998.8268,4,32,0,0.0121017565311368,0.056611286125256025,0.05789032931236889,12.06646620306515,-0.019581177438497493,0.05686777537800258,-0.19033496392773064,-0.5469074489951585,0.22613966558080364,0.15029968275980546,-1.8345187868915787,1.7259563664000002,,,,,False,True,True,KMeans,5,5,1995.5688,2000.026,1998.8268,1,1.7209554822,0.17075378648923314,0.6037752243731611,0.001911424782601995,0.003205180110714512,0.007228870050703251,0.04979801974998666,0.001187377473061604,0.001991058552346897,0.0,0.0,0.0,0.0,0.1290485351026859,0.06844914690071897,1.6105617803491725,1.458769994695332,0.47622098692314,-13.68290003504,0.0004882565863804875,
0003-066,u,1998_10_30,1998.8268,3,62,0,-0.994766567301575,0.2542105849520691,1.0267344081711842,-75.66497212171856,-0.991121149016258,0.2676126474031344,-0.19033496392773064,-0.5469074489951585,0.8034013653982712,0.4973512986349235,-39.56523545643742,0.2113773981,,,,,False,True,True,KMeans,5,5,1995.5688,2000.026,1998.8268,2,0.2113773981,-0.8007861850885274,0.8145200963982929,0.009209100952726987,0.010261713899667001,-0.1437186734298517,-0.06445640566951448,0.004285304979588621,0.004775121252236363,0.0,0.0,0.0,0.0,0.3179339886594014,0.25068190523665,-31.237704493631696,1.458769994695332,0.47622098692314,-13.68290003504,0.0004882565863804875,
0003-066,u,1998_10_30,1998.8268,2,123,0,-2.938348333042433,0.6821941042181492,3.01650123854164,-76.92924769186699,-2.856949295742321,0.6696888938564917,-0.19033496392773064,-0.5469074489951585,1.36644281205083,1.3209611323002037,4.22745779706861,0.0865580884,,,,,False,True,True,KMeans,5,5,1995.5688,2000.026,1998.8268,3,0.0865580884,-2.6666143318145905,1.2165963428516502,0.01713474894530578,0.016260312135496807,-0.37861476489050755,0.06096701646826878,0.007686219842487456,0.0072939693589811625,0.0,0.0,0.0,0.0,0.4906586859174696,0.42698467621103914,-56.133366431129176,1.458769994695332,0.47622098692314,-13.68290003504,0.0004882565863804875,
0003-066,u,1998_10_30,1998.8268,1,103,0,-5.90235709127162,1.3463726409065222,6.053968823925837,-77.15025570601503,-5.912473659773879,1.2772789343382431,-0.19033496392773064,-0.5469074489951585,1.5151353566080814,1.2844242886368666,62.87104968838687,0.0444607943,,,,,False,True,True,KMeans,5,5,1995.5688,2000.026,1998.8268,4,0.0444607943,-5.722138695846149,1.8241863833334016,0.01667106899673985,0.018586794010386223,0.04702334621689925,-0.05325617706779706,0.013866244143962791,0.015459657905078639,0.0,0.0,0.0,0.0,0.6357625884665257,0.5693074005282155,4.906487376583726,1.458769994695332,0.47622098692314,-13.68290003504,0.0004882565863804875,
0003-066,u,1999_06_17,1999.4565,-1,8,0,,,,,,,-0.14725874317374602,-0.6115421845221828,,,,0.023239188,,,,,False,False,False,KMeans,5,7,1995.5688,2001.8303,1999.4565,-1,,,,,,,,,,,,,,,,,1.458220028446476,0.5712559608052801,-9.3804802070316,0.0008621203708574533,
0003-066,u,1999_06_17,1999.4565,0,22,0,-0.14725874317374602,-0.6115421845221827,0.6290222419686562,-166.4609888169372,-0.14725874317374602,-0.6115421845221828,-0.14725874317374602,-0.6115421845221828,0.235258582128233,0.12437431631795536,-16.753456591570313,0.48526420200000003,,,,,False,True,True,KMeans,5,7,1995.5688,2001.8303,1999.4565,0,0.464863606,2.371692252312041e-19,1.0842021724855044e-19,0.005970542420590813,0.013501921364090615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1627252717818727,0.09653595980262923,4.879242796133468,1.458220028446476,0.5712559608052801,-9.3804802070316,0.0008621203708574533,
0003-066,u,1999_06_17,1999.4565,4,42,0,0.010620679587520655,0.07196217404852162,0.07274168906954592,8.395504147151998,0.003685000231333002,0.00417404431115187,-0.14725874317374602,-0.6115421845221828,0.3051173373992662,0.1588876056965391,-5.43391892787821,1.8413450239999998,,,,,False,True,True,KMeans,5,7,1995.5688,2001.8303,1999.4565,1,1.1885780901999998,0.15094374340507902,0.6157162288333347,0.001606133298167982,0.0032583772786951002,-0.006075735169146753,0.03817740252556123,0.0008591649202123541,0.001742995713908069,0.0,0.0,0.0,0.0,0.1502805052552227,0.0710715752473937,4.652021787750982,1.458220028446476,0.5712559608052801,-9.3804802070316,0.0008621203708574533,
0003-066,u,1999_06_17,1999.4565,3,47,0,-1.0297814253007163,0.2176656243203498,1.0525341362184613,-78.06502325895804,-1.0396973860430305,0.2330127905297138,-0.14725874317374602,-0.6115421845221828,0.8153092555878143,0.5107120567113437,-39.90475892822158,0.20728241029999997,,,,,False,True,True,KMeans,5,7,1995.5688,2001.8303,1999.4565,2,0.20728241029999997,-0.8924386428692845,0.8445549750518966,0.00757584450904669,0.008197081854014987,-0.14590266203332386,-0.03503156771124558,0.0030595788372036877,0.003310471609788429,0.0,0.0,0.0,0.0,0.3418835594771535,0.2663859080621428,-35.616599828540046,1.458220028446476,0.5712559608052801,-9.3804802070316,0.0008621203708574533,
0003-066,u,1999_06_17,1999.4565,2,77,0,-3.034942945195364,0.5578887901908713,3.0857930233267012,-79.58406543955125,-2.952383486008151,0.6325186827612984,-0.14725874317374602,-0.6115421845221828,1.3137829242641441,1.2293579508237398,87.93049647218166,0.0727657962,,,,,False,True,True,KMeans,5,7,1995.5688,2001.8303,1999.4565,3,0.0727657962,-2.805124742834405,1.2440608672834812,0.014588024220910167,0.012520411685883675,-0.34197511979203543,0.05684197209985928,0.005637687099210001,0.004838637663976991,0.0,0.0,0.0,0.0,0.5227667616657855,0.43163169394464135,-71.63045219930554,1.458220028446476,0.5712559608052801,-9.3804802070316,0.0008621203708574533,
0003-066,u,1999_06_17,1999.4565,1,68,0,-5.858590402344054,1.2377239655412695,5.9879079917207365,-78.07073774989684,-5.965777557260091,1.1938333920430266,-0.14725874317374602,-0.6115421845221828,1.3951466955500877,1.327993851621228,79.08012076193236,0.0526321853,,,,,False,True,True,KMeans,5,7,1995.5688,2001.8303,1999.4565,4,0.0526321853,-5.818518814086344,1.8053755765652095,0.01453860991978312,0.01696764653319637,-0.09948157748661092,-0.027316540509246305,0.008398941521911505,0.009802193729873915,0.0,0.0,0.0,0.0,0.6319877253728869,0.5406542696913582,-4.059217095393279,1.458220028446476,0.5712559608052801,-9.3804802070316,0.0008621203708574533,
0003-066,u,2000_01_11,2000.026,-1,5,0,,,,,,,-0.15774593816549484,-0.5668638293671981,,,,0.003921829,,,,,False,False,False,KMeans,5,9,1995.5688,2003.0951,2000.026,-1,,,,,,,,,,,,,,,,,1.9635700363642798,0.530543985593904,-13.596900269427,0.000558791741427108,
0003-066,u,2000_01_11,2000.026,0,16,0,-0.15774593816549493,-0.5668638293671984,0.5884032478263154,-164.44926559402296,-0.15774593816549484,-0.5668638293671981,-0.15774593816549484,-0.5668638293671981,0.2735524129470178,0.2735524129470178,90.0,0.38761783299999997,,,,,False,True,True,KMeans,5,9,1995.5688,2003.0951,2000.026,0,0.48526420200000003,-4.2751454038671125e-19,9.393892692475636e-19,0.00496056311491465,0.011230609254301038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14900084306106798,0.09375983617034049,6.685041573269729,1.9635700363642798,0.530543985593904,-13.596900269427,0.000558791741427108,
0003-066,u,2000_01_11,2000.026,4,16,0,0.012533255249151321,0.0538057698086526,0.0552462066737807,13.112384339819446,-0.021559300719037222,0.048623709297314854,-0.15774593816549484,-0.5668638293671981,0.17421376231291483,0.17421376231291483,90.0,1.7222866322000001,,,,,False,True,True,KMeans,5,9,1995.5688,2003.0951,2000.026,1,1.277701099,0.13618663744645762,0.615487538664513,0.00151569887435934,0.003082767047119179,-0.012181701202681864,0.02644550938921915,0.0006696628309309684,0.001362021535278321,0.0,0.0,0.0,0.0,0.16635901114280402,0.08111307546057103,-2.7753224067178337,1.9635700363642798,0.530543985593904,-13.596900269427,0.000558791741427108,
0003-066,u,2000_01_11,2000.026,3,53,0,-1.1030877237404955,0.129839943145359,1.1107029022663881,-83.2868373848505,-1.08792251625725,0.2856443871343022,-0.15774593816549484,-0.5668638293671981,1.0359409523840215,0.6716959756338179,-0.7482397878749794,0.203362839,,,,,False,True,True,KMeans,5,9,1995.5688,2003.0951,2000.026,2,0.203362839,-0.930176578091755,0.8525082165015003,0.006446122478000949,0.00734398612340309,-0.13007374279126654,-0.026343348717017576,0.0023195716852786458,0.0026426587963634075,0.0,0.0,0.0,0.0,0.378282192970642,0.2743396118322098,-32.664715283287734,1.9635700363642798,0.530543985593904,-13.596900269427,0.000558791741427108,
